"Fragment Key","Fragment","Atom count","Bond count","Support in focus (abs)","Support in complement (abs)","Support in focus (rel)","Support in complement (rel)"
"Fragment 1","N1C=CC=CC=1",6,6,129,1,0.7049180327868853,0.06666666666666667
"Fragment 2","N1C=CC=C(C)C=1",7,7,107,1,0.5846994535519126,0.06666666666666667
"Fragment 3","N1(C)C=CC=N1",6,6,106,2,0.5792349726775956,0.13333333333333333
"Fragment 4","N1C=CC=C(C2C=CC=CC=2)C=1",12,13,104,0,0.5683060109289617,0
"Fragment 5","C1(C)C=CC(C)=CC=1",8,8,92,2,0.5027322404371585,0.13333333333333333
"Fragment 6","N1=CC(C)=CN1",6,6,92,2,0.5027322404371585,0.13333333333333333
"Fragment 7","N1(C)C=C(C2C=CC(C)=CC=2)C=N1",13,14,91,2,0.4972677595628415,0.13333333333333333
"Fragment 8","N1C=CC=C(C2C=CC(C)=CC=2)C=1",13,14,71,0,0.3879781420765027,0
"Fragment 9","N1(C)CCCCC1",7,7,58,0,0.31693989071038253,0
"Fragment 10","N1CCCC1",5,5,58,1,0.31693989071038253,0.06666666666666667
"Fragment 11","N1C=CC(N)=CC=1",7,7,55,0,0.3005464480874317,0
"Fragment 12","N1(C2C=CN=CC=2C)CCCCC1",13,14,54,0,0.29508196721311475,0
"Fragment 13","N1C=CC(N)=C(C2C=CC=CC=2)C=1",13,14,54,0,0.29508196721311475,0
"Fragment 14","NCC1C=CC=CC=1",8,8,46,3,0.25136612021857924,0.2
"Fragment 15","ClC1C(N)=C(C2C=CC=CC=2)C=NC=1",14,15,43,0,0.23497267759562843,0
"Fragment 16","ClC1C(N2CCCCC2)=C(C)C=NC=1",14,15,43,0,0.23497267759562843,0
"Fragment 17","O=C(C1C=CC=CC=1)N",9,9,43,3,0.23497267759562843,0.2
"Fragment 18","N1C=CC=CC=1N",7,7,38,0,0.20765027322404372,0
"Fragment 19","N1C=CC2C=CC=CC=2C=1",10,11,34,0,0.18579234972677597,0
"Fragment 20","N1(C)CCCC1",6,6,33,1,0.18032786885245902,0.06666666666666667
"Fragment 21","O=C(C1C=CC2=NNC=C2C=1)N",12,13,33,2,0.18032786885245902,0.13333333333333333
"Fragment 22","N1C=C(C2C=CC=CC=2)C=CC=1N",13,14,32,0,0.17486338797814208,0
"Fragment 23","N1=CC=CC2=CN=CC(C)=C12",11,12,32,0,0.17486338797814208,0
"Fragment 24","N1C=CC=CC=1C",7,7,31,0,0.16939890710382513,0
"Fragment 25","C1(CC)C=CC=CC=1",8,8,31,3,0.16939890710382513,0.2
"Fragment 26","N1(CC)CCCC1",7,7,29,1,0.15846994535519127,0.06666666666666667
"Fragment 27","O=C1CCCN1",6,6,28,0,0.15300546448087432,0
"Fragment 28","N1=C2C=CC(C)=CC2=C(C)N1",11,12,28,2,0.15300546448087432,0.13333333333333333
"Fragment 29","N1=C(CC2C=CC=CC=2)C=CN1",12,13,28,3,0.15300546448087432,0.2
"Fragment 30","N1=C(C)C=CC2=CN=CC(C)=C12",12,13,27,0,0.14754098360655737,0
"Fragment 31","O=C1C2(CCN(C)CC2)CCN1",12,13,26,0,0.14207650273224043,0
"Fragment 32","N1C=CC(N)=C(C2C=CC(C)=CC=2)C=1",14,15,25,0,0.1366120218579235,0
"Fragment 33","O=C(C1C=CC2=NNC(C)=C2C=1)N",13,14,25,2,0.1366120218579235,0.13333333333333333
"Fragment 34","N(C)CC1C=CC=CC=1",9,9,25,3,0.1366120218579235,0.2
"Fragment 35","N1C=C(C2C=CC(C)=CC=2)C=CC=1N",14,15,24,0,0.13114754098360656,0
"Fragment 36","O=CC1C=CC=CN=1",8,8,24,0,0.13114754098360656,0
"Fragment 37","O=C(C)N1CCCC1",8,8,24,1,0.13114754098360656,0.06666666666666667
"Fragment 38","N1=C2C=CC(C)=CC2=C(CC)N1",12,13,24,2,0.13114754098360656,0.13333333333333333
"Fragment 39","S1(=O)(=O)CC2C=CC=CC=2N1",11,12,23,0,0.12568306010928962,0
"Fragment 40","O=C(C1C=CC=CN=1)N",9,9,23,0,0.12568306010928962,0
"Fragment 41","N1(C)CCC1",5,5,23,0,0.12568306010928962,0
"Fragment 42","S1(=O)(=O)CC2C=C(C)C=CC=2N1",12,13,22,0,0.12021857923497267,0
"Fragment 43","O=C(C)N1CCC1",7,7,22,0,0.12021857923497267,0
"Fragment 44","O=CC1C=CC2=CN=CC(C)=C2N=1",13,14,21,0,0.11475409836065574,0
"Fragment 45","S1(=O)(=O)CC2C=CC=CC=2N1C",12,13,21,0,0.11475409836065574,0
"Fragment 46","O=C(C1C=CC2=NNC(CC)=C2C=1)N",14,15,21,2,0.11475409836065574,0.13333333333333333
"Fragment 47","N1(C)C=C(C2C=CC(CC)=CC=2)C=N1",14,15,21,2,0.11475409836065574,0.13333333333333333
"Fragment 48","N1=C(CC2C=CC(C)=CC=2)C=CN1",13,14,21,2,0.11475409836065574,0.13333333333333333
"Fragment 49","O=C(C1C=CC2=CN=CC(C)=C2N=1)N",14,15,20,0,0.1092896174863388,0
"Fragment 50","S1(=O)(=O)CC2C=C(C)C=CC=2N1C",13,14,20,0,0.1092896174863388,0
"Fragment 51","ClC1C(N)=C(C2C=CC(C)=CC=2)C=NC=1",15,16,19,0,0.10382513661202186,0
"Fragment 52","N(CC)CC1C=CC=CC=1",10,10,19,1,0.10382513661202186,0.06666666666666667
"Fragment 53","N1C=C(C)C2C=CC=CC=2C=1",11,12,18,0,0.09836065573770492,0
