aid,sid,cid,acvalue,acname,Std_Smiles,Active
1433.0,50100096.0,9874913.0,0.01,Kd,CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)C=CCNC(=O)COC)C,p
1982.0,48409448.0,2858522.0,0.0,0,CC1=CC2=C(C=C1C)N(C(=N2)NCCCO)CC(=O)C3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C.Br,n
435903.0,104234154.0,5287969.0,0.12,Kd,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,p
493040.0,103905389.0,3547.0,0.0,0,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,n
493040.0,103905473.0,3973.0,0.0,0,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,n
493040.0,103905115.0,4625.0,0.0,0,C1=CC=C2C(=C1)C(=CC3=CC=CN3)C(=O)N2,n
493040.0,103905107.0,4813.0,0.0,0,C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O,n
493040.0,103904781.0,4878.0,0.0,0,CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N,n
493040.0,103905584.0,5169.0,0.0,0,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,n
493040.0,103905596.0,5291.0,0.0,0,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,n
493040.0,103904954.0,5711.0,0.0,0,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,n
493040.0,103905249.0,112928.0,0.0,0,CN(C)C1=CC=C(C2=CC=CC=C21)N,n
493040.0,103905343.0,123631.0,0.0,0,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,n
493040.0,103904989.0,176155.0,0.0,0,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,n
493040.0,103905339.0,176870.0,0.0,0,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,n
493040.0,103904709.0,201327.0,0.0,0,C1=CC=C2C(=C1)C(=O)NC3=CC=CC=C3N2,n
493040.0,103905567.0,208908.0,0.0,0,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,n
493040.0,103905177.0,255603.0,0.0,0,CC(CCC(=O)O)(C1=CC(=C(C=C1)O)N)C2=CC(=C(C=C2)O)N,n
